CODGEO,LIBGEO,NBMENFISC16,NBPERSMENFISC16,MED16,PIMP16,TP6016,TP60AGE116,TP60AGE216,TP60AGE316,TP60AGE416,TP60AGE516,TP60AGE616,TP60TOL116,TP60TOL216,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PPAT16,PPSOC16,PPFAM16,PPMINI16,PPLOGT16,PIMPOT16,D116,D916,RD16
58214,Pougues-les-Eaux,1107,2389.5,21873.3333333333,56,9,,,,,,,,,70,57.5,1.9,10.5,34.7,7.9,4,1.4,1.5,1.1,-16.6,12557,35844.8,2.85456717368798
58215,Pouilly-sur-Loire,836,1607.5,20113.3333333333,,,,,,,,,,,,,,,,,,,,,,,,
58216,Pouques-Lormes,63,117,21483.8888888889,,,,,,,,,,,,,,,,,,,,,,,,
58217,Pousseaux,90,178.5,20488,,,,,,,,,,,,,,,,,,,,,,,,
58218,Prémery,934,1813,18672,,,,,,,,,,,,,,,,,,,,,,,,
58219,Préporché,104,194,18855.5,,,,,,,,,,,,,,,,,,,,,,,,
58220,Raveau,310,676,21450.6666666667,,,,,,,,,,,,,,,,,,,,,,,,
58221,Rémilly,74,146,16686.6666666667,,,,,,,,,,,,,,,,,,,,,,,,
58222,Rix,80,161,22917,,,,,,,,,,,,,,,,,,,,,,,,
58223,Rouy,250,587,18188.6666666667,,,,,,,,,,,,,,,,,,,,,,,,
58224,Ruages,,,,,,,,,,,,,,,,,,,,,,,,,,,
58225,Saincaize-Meauce,156,370.5,19220,,,,,,,,,,,,,,,,,,,,,,,,
58226,Saint-Agnan,69,133,19667,,,,,,,,,,,,,,,,,,,,,,,,
58227,Saint-Amand-en-Puisaye,622,1181,18268,,,,,,,,,,,,,,,,,,,,,,,,
58228,Saint-Andelain,230,491,24025.6666666667,,,,,,,,,,,,,,,,,,,,,,,,
58229,Saint-André-en-Morvan,134,279.5,20281.2,,,,,,,,,,,,,,,,,,,,,,,,
58230,Saint-Aubin-des-Chaumes,,,,,,,,,,,,,,,,,,,,,,,,,,,
58231,Saint-Aubin-les-Forges,186,396,21109.2857142857,,,,,,,,,,,,,,,,,,,,,,,,
58232,Saint-Benin-d'Azy,540,1200.5,20466.1111111111,,,,,,,,,,,,,,,,,,,,,,,,
58233,Saint-Benin-des-Bois,84,177.5,19198.5,,,,,,,,,,,,,,,,,,,,,,,,
58234,Saint-Bonnot,,,,,,,,,,,,,,,,,,,,,,,,,,,
58235,Saint-Brisson,129,240.5,17897.619047619,,,,,,,,,,,,,,,,,,,,,,,,
58236,Sainte-Colombe-des-Bois,60,127,20999.5,,,,,,,,,,,,,,,,,,,,,,,,
58237,Saint-Didier,,,,,,,,,,,,,,,,,,,,,,,,,,,
58238,Saint-Éloi,889,2105.5,22576,65,,,,,,,,,,72.3,65,1.9,5.4,32.5,8.2,3.3,1.6,1.1,0.6,-16.3,14019.0909090909,35265.7142857143,2.51554929734036
58239,Saint-Firmin,64,173,19330.9523809524,,,,,,,,,,,,,,,,,,,,,,,,
58240,Saint-Franchy,,,,,,,,,,,,,,,,,,,,,,,,,,,
58241,Saint-Germain-Chassenay,157,341.5,18725.2380952381,,,,,,,,,,,,,,,,,,,,,,,,
58242,Saint-Germain-des-Bois,58,118,18817.9333333333,,,,,,,,,,,,,,,,,,,,,,,,
58243,Saint-Gratien-Savigny,41,112.5,18756,,,,,,,,,,,,,,,,,,,,,,,,
58244,Saint-Hilaire-en-Morvan,101,220,20890.1666666667,,,,,,,,,,,,,,,,,,,,,,,,
58245,Saint-Hilaire-Fontaine,81,157,17890,,,,,,,,,,,,,,,,,,,,,,,,
58246,Saint-Honoré-les-Bains,357,660.5,18043.3333333333,,,,,,,,,,,,,,,,,,,,,,,,
58247,Saint-Jean-aux-Amognes,199,484,22308,,,,,,,,,,,,,,,,,,,,,,,,
58248,Saint-Laurent-l'Abbaye,101,217.5,18278.6666666667,,,,,,,,,,,,,,,,,,,,,,,,
58249,Saint-Léger-de-Fougeret,100,179,17981,,,,,,,,,,,,,,,,,,,,,,,,
